id;name(название);specialization(специализация);responsibilities(Должностные обязанности);requirements(Требования к соискателю);terms(Условия);notes(Примечания);;;
9394780;Штукатур;Работа в Москве Штукатур;Штукатур на работу в новостройках Москвы. У нас несколько новостроек с большим объемом по полу! Инструменты предоставляются!  ЗВОНИТЕ ПРЯМО СЕЙЧАС Проживание бесплатно (если рассматриваете вахта Штукатур ) ЕСЛИ ВЫ ВИДИТЕ ЭТО ОБЪЯВЛЕНИЕ, ТО ВАКАНСИЯ АКТУАЛЬНА !Уважаемые Кандидаты, просьба прочесть до конца. Приглашаем на работу мастеров с опытом в отделке! ПОЗВОНИТЕ ПРЯМО СЕЙЧАС, мы сможем рассказать об условиях на каждом объекте! ВЫ сможете здесь ЗАРАБОТАТЬ в чистом виде, исходя из выбранного графика и объекта на выбор.  УСЛОВИЯ: ПИТАНИЕ БЕСПЛАТНО! Зарплата без задержек 2 раза в месяц!  Есть карьерная лестница! Для желающих и умеющих есть все шансы для повышения на объекте! Приезжайте с друзьями или хорошими коллегами, работайте в бригада Штукатур / Маляр / Шпаклевщик*! ОФИЦИАЛЬНЫЕ ВЫПЛАТЫ  ОПЛАТА: Зарплата платится без заминок два раза в месяц 6/1 и 7/0 по 8 часов, 1 час перерыва. Опыт работы Штукатур / Штукатур / Шпаклевщик  ЗВОНИТЕ ПРЯМО СЕЙЧАС  Также готовы рассмотреть сотрудников с опытом работы на позициях: штукатур, шпаклевщик, маляр, отделочник;Опыт работы Штукатур / Штукатур / Шпаклевщик; ПИТАНИЕ БЕСПЛАТНО! Зарплата без задержек 2 раза в месяц!  Есть карьерная лестница! Для желающих и умеющих есть все шансы для повышения на объекте! Приезжайте с друзьями или хорошими коллегами, работайте в бригада Штукатур / Маляр / Шпаклевщик*! ОФИЦИАЛЬНЫЕ ВЫПЛАТЫ  ОПЛАТА: Зарплата платится без заминок два раза в месяц 6/1 и 7/0 по 8 часов, 1 час перерыва; У нас несколько новостроек с большим объемом по полу! Инструменты предоставляются!  ЗВОНИТЕ ПРЯМО СЕЙЧАС Проживание бесплатно (если рассматриваете вахта Штукатур ) ЕСЛИ ВЫ ВИДИТЕ ЭТО ОБЪЯВЛЕНИЕ, ТО ВАКАНСИЯ АКТУАЛЬНА !Уважаемые Кандидаты, просьба прочесть до конца. Приглашаем на работу мастеров с опытом в отделке! ПОЗВОНИТЕ ПРЯМО СЕЙЧАС, мы сможем рассказать об условиях на каждом объекте! ВЫ сможете здесь ЗАРАБОТАТЬ в чистом виде, исходя из выбранного графика и объекта на выбор. ЗВОНИТЕ ПРЯМО СЕЙЧАС  Также готовы рассмотреть сотрудников с опытом работы на позициях: штукатур, шпаклевщик, маляр, отделочник;;;
9395175;Штукатур;Работа Штукатур;Работа Штукатур в Москве. Вакансия Штукатур в строительстве на чистовую отделку больших объемов! Работа! Если вам нужна вахта Штукатур, мы предоставляем бесплатное проживание (по желанию). Открыт прием на несколько строительных объектов по Москве на выбор!  Большие ставки, готовы давать этажи бригадам! Официальный работодатель Гарантируем чеcтнoсть и выпoлнениe вcex уcлoвий! Оформление в день собеседования, выход на работу на следующий день ОПЛАТА ДВАЖДЫ В МЕСЯЦ ОФИЦИАЛЬНО ТРЕБУЕТСЯ Штукатур / Штукатур / Шпаклевщик  ДОБАВЬТЕ ОБЪЯВЛЕНИЕ В ИЗБРАННОЕ, получай свежие предложения о работе.  ОПЫТ Штукатур / Штукатур / Шпаклевщик ЕСЛИ ВЫ ВИДИТЕ ЭТО ОБЪЯВЛЕНИЕ, ТО ВАКАНСИЯ АКТУАЛЬНА заинтересовались? Оставьте ваш номер в чате!  Мы перезвоним максимально быстро!  Или звоните сами - не стесняйтесь, опередите других!  Также готовы рассмотреть сотрудников с опытом работы на позициях: штукатур, шпаклевщик, маляр, отделочник;ОПЫТ Штукатур / Штукатур / Шпаклевщик;;Вакансия Штукатур в строительстве на чистовую отделку больших объемов! Работа! Если вам нужна вахта Штукатур, мы предоставляем бесплатное проживание (по желанию). Открыт прием на несколько строительных объектов по Москве на выбор!  Большие ставки, готовы давать этажи бригадам! Официальный работодатель Гарантируем чеcтнoсть и выпoлнениe вcex уcлoвий! Оформление в день собеседования, выход на работу на следующий день ОПЛАТА ДВАЖДЫ В МЕСЯЦ ОФИЦИАЛЬНО ТРЕБУЕТСЯ Штукатур / Штукатур / Шпаклевщик  ДОБАВЬТЕ ОБЪЯВЛЕНИЕ В ИЗБРАННОЕ, получай свежие предложения о работе.;;;
9395191;Штукатур;Штукатур;"Компания ООО &quot;НСМУ&quot; в связи с расширением деятельности и увеличением объема работ набирает специалистов строительных специальностей на большие объемы работ в Москве и Московской области!  Находимся в деревне Дудкино, метро - Румянцево. Работы в новостройке на объекте строительства.  Желательно с опытом работы  Условия: --Постоянно большие объемы работ - найдем чем заняться каждому --График работы 5/2 по 8 часов --Комфортное, ухоженное жилье вблизи объекта --Официальное оформление --Выплаты на карту каждые 2 недели --Специальная рабочая форма --Выдаются необходимые современные инструменты.  Являемся непосредственным заказчиком.  Обязанности: проведение отделочных работ грунтование стен выполнение данных поручений";Желательно с опытом работы;Постоянно большие объемы работ - найдем чем заняться каждому --График работы 5/2 по 8 часов --Комфортное, ухоженное жилье вблизи объекта --Официальное оформление --Выплаты на карту каждые 2 недели --Специальная рабочая форма --Выдаются необходимые современные инструменты;"Компания ООО &quot;НСМУ&quot; в связи с расширением деятельности и увеличением объема работ набирает специалистов строительных специальностей на большие объемы работ в Москве и Московской области!  Находимся в деревне Дудкино, метро - Румянцево. Работы в новостройке на объекте строительства. ";;;
9395211;Штукатур;Работа Штукатур;Работа Штукатур в Москве. Вакансия Штукатур в строительстве на чистовую отделку больших объемов! Работа! Если вам нужна вахта Штукатур, мы предоставляем бесплатное проживание (по желанию). Открыт прием на несколько строительных объектов по Москве на выбор!  Большие ставки, готовы давать этажи бригадам! Официальный работодатель Гарантируем чеcтнoсть и выпoлнениe вcex уcлoвий! Оформление в день собеседования, выход на работу на следующий день ОПЛАТА ДВАЖДЫ В МЕСЯЦ ОФИЦИАЛЬНО ТРЕБУЕТСЯ Штукатур / Штукатур / Шпаклевщик  ДОБАВЬТЕ ОБЪЯВЛЕНИЕ В ИЗБРАННОЕ, получай свежие предложения о работе.  ОПЫТ Штукатур / Штукатур / Шпаклевщик ЕСЛИ ВЫ ВИДИТЕ ЭТО ОБЪЯВЛЕНИЕ, ТО ВАКАНСИЯ АКТУАЛЬНА заинтересовались? Оставьте ваш номер в чате!  Мы перезвоним максимально быстро!  Или звоните сами - не стесняйтесь, опередите других!  Также готовы рассмотреть сотрудников с опытом работы на позициях: штукатур, шпаклевщик, маляр, отделочник; ОПЫТ Штукатур / Штукатур / Шпаклевщи;;Работа Штукатур в Москве. Вакансия Штукатур в строительстве на чистовую отделку больших объемов! Работа! Если вам нужна вахта Штукатур, мы предоставляем бесплатное проживание (по желанию). Открыт прием на несколько строительных объектов по Москве на выбор!  Большие ставки, готовы давать этажи бригадам! Официальный работодатель Гарантируем чеcтнoсть и выпoлнениe вcex уcлoвий! Оформление в день собеседования, выход на работу на следующий день ОПЛАТА ДВАЖДЫ В МЕСЯЦ ОФИЦИАЛЬНО;;;
9395527;Штукатур;Вакансия штукатур на стройку 8 часов;РАБОТА Шпаклевщик. Инструменты и расходники БЕСПЛАТНО  Мы Прямой работодатель!  Условия без воды:  - Деньги за трудоустройство не берем!  - Оформление в день обращения!  - Выплаты официальные, 2 раза в месяц  - График работы 5/2 или 6/1 (8 часов)  - Приветствуется работа в бригадах!  Также готовы рассмотреть сотрудников с опытом работы на позициях: штукатур, шпаклевщик, маляр, отделочник;; Деньги за трудоустройство не берем!  - Оформление в день обращения!  - Выплаты официальные, 2 раза в месяц  - График работы 5/2 или 6/1 (8 часов);Приветствуется работа в бригадах!  Также готовы рассмотреть сотрудников с опытом работы на позициях: штукатур, шпаклевщик, маляр, отделочник;;;
9395553;Штукатур;Вакансия Штукатур (8 часов);"Работа Штукатур - Шпаклевщик в компании ПИК-РЕМОНТ на м. Водный Стадион! Мы - технологичная компания, специализирующаяся на комплексных решениях в сфере ремонта помещений.  Открыт набор для отделочников-штукатуров/маляров/шпаклевщиков! Есть вахта Маляр Условия:   — График работы 5/2 или 6/1, на выбор  — Выплаты официально на карту  — Есть работа с проживанием     — Штукатурка 300 руб м2  — Шпатлевка 1 слой 120 руб м2  — Оставшаяся смета в офисе  — Инструменты выдаются бесплатно  Мы входим в группу компаний &quot;ПИК&quot; и строим систему для управления отделкой с использованием разработанных IT инструментов.  Обязанности:  — Выполнение отделочных работ, устройство стяжки, настилка пола (линолеум, паркет, паркетная доска, ламинат) облицовка покрытий плиткой, оклейка перегородок обоями, стеклохолстом и прочее;  — Выполнение комплексных малярных работ: высококачественная подготовка стен под покраску, шпатлевка, покраска, штукатурка/выравнивание стен и другие.  Требования:   — Аналогичный опыт работы от 1 года;  — Ответственность, аккуратность, желание развиваться.  — Следить за сохранностью покрасочных материалов и инструментов, не допускать повышенного расхода, самостоятельно осуществлять переноску материалов и инструментов на объекте.";"Аналогичный опыт работы от 1 года;  — Ответственность, аккуратность, желание развиваться.  — Следить за сохранностью покрасочных материалов и инструментов, не допускать повышенного расхода, самостоятельно осуществлять переноску материалов и инструментов на объекте.";" — График работы 5/2 или 6/1, на выбор  — Выплаты официально на карту  — Есть работа с проживанием     — Штукатурка 300 руб м2  — Шпатлевка 1 слой 120 руб м2  — Оставшаяся смета в офисе  — Инструменты выдаются бесплатно  Мы входим в группу компаний &quot;ПИК&quot; и строим систему для управления отделкой с использованием разработанных IT инструментов. ";;;;
9395634;Штукатур;Штукатур;"Обязанности: подготовка и производство штукатурных работ. Условия: вахта 60/30 в г.Троицк; оплата 300р/час💵; предоставляется спец.одежда🧤🦺проживание в общежитии🏡питание 3х разовое в столовой🍽️ проезд до г.Троицк ( с вычетом билетов из з.п)✈️ АКЦИЯ- приведи друга +3000₽ к З.П";;"вахта 60/30 в г.Троицк; оплата 300р/час💵; предоставляется спец.одежда🧤🦺проживание в общежитии🏡питание 3х разовое в столовой🍽️ проезд до г.Троицк ( с вычетом билетов из з.п)✈️ АКЦИЯ- приведи друга +3000₽ к З.П";;;;
9492424;Электрогазосварщик;Электрогазосварщик на вахту;"ЗП 80 т.р. НАКС 100 т.р.  Прямой работодатель. Проезд, проживание, питание. Вахта 60/30 На Мосты требуется Сварщики.  Условия: - Работа вахтовым методом: 30/30, 60/30 дней и тд. по желанию - Оплачиваем билет до места работы! - Возможна подработка на вахте (оплачиваемые переработки) - Официальное трудоустройство, соц. пакет - Бесплатные обеды прямо на месте работы! - Проживание в новом общежитии! Проживание НЕ удерживается, все условия для отдыха холодильники, TV, Wi-Fi (больше подробностей узнавайте у менеджера)  - Выплаты на карту без задержек - Униформу предоставляем бесплатно - з/п Сварщик 80 000 Руб. НАКС 100 000 Руб.  Обязанности: - Работа на основе разработанного плана - Соблюдение режима сварки - Работа с ручной дуговой сваркой и не только ( подробности расскажет мастер)  Требования: - Опыт работы сварщиком! - Умение работы ручной дуговой сваркой - Знание работы на полуавтоматах и их настройки - Удостоверение работы сварщиком НАКС будет преимуществом! - Разряд 3-4  🟦 НЕ ЖДИ, ЗВОНИ СЕЙЧАС! 🟩  В нашей компании действует акция &quot;ПРИВЕДИ ДРУГА&quot;, премия 4000 руб (если вы приезжаете с другом на вакансию и он отрабатывает не менее 10 смен). Можете сообщить знакомым и друзьям, о наборе специалистов в нашу компанию!  Мы ждем соискателя на должность: «Сварщик» : Код вакансии: G-8592374545 Имя менеджера: Полина Мы выдаем: Специализированную одежду Модель рабочей одежды: КСВ-1Б    А так же нужны специалисты: Сварщик,  Электрогазосварщик Газосварщик,  Электросварщик,";;;;;;
9492425;Монтажник;Монтажник на вахту;"ВАХТА МОНТАЖНИК С БЕСПЛАТНЫМ ПИТАНИЕМ И ПРОЖИВАНИЕМ! Свежая вакансия, ЗАПОЛНЯЕМ БРИГАДУ! Работа монтажник от 30 дней.  Условия: 💡 Питание БЕСПЛАТНОЕ! 💡 График вахты ускоренный – 7/0 💡 Комфортное БЕСПЛАТНОЕ проживание с шкафчиками, холодильниками, TV, Wi-Fi, стиральной машиной и остальными обязательными атрибутами для отдыха (ВЫЧЕТОВ за использование НЕТ) 💡 Монтажник вакансии вахта прямых работодателей (ОФИЦИАЛЬНОЕ оформление) в день собеседования – гарантия выплат. 💡 Спецодежда предоставляется БЕЗ ВЫЧЕТОВ!  ☎️ НЕ ЖДИ, ЗВОНИ СЕЙЧАС! ☎️  Необходимый опыт: [+\n+🔴 Монтажные работы (вахта монтажник) болгаркой|🔴 Сварка / связка арматуры (вахта сварщик)|🔴 Заливка бетона с оборудованием (бетонщик вахта)|🔴 Монтажник жбк вахта С БРИГАДИРОМ!|🔴 Есть разное расписание! Вахта 30 30 (короткая работа вахтой 30 30); вахта 30 15 (короткая работа вахтой 30 15); вахта 45 30 (средняя работа вахтой 45 30); вахта 60 30 (повышенная работа вахтой 60 30); вахта 90 30 (длительная работа вахтой 90 30).|🔴 Вблизи места проживания находятся МАГАЗИНЫ и БАНКОМАТЫ.|🔴 Любая работа найдется! Трудоустройство вахта от прямых работодателей.|🔴 Возможна подработка на вахте (оплачиваемые переработки).|🔴 Оплачиваем проезд в первую выплату!|🔴 Работа вахта ночь / день вахта  Все еще думаешь? ПОЗВОНИ 🟢 или ОТКЛИКНИСЬ нам 🔵, мы ответим на ВСЕ вопросы!  Мы ждем соискателя на должность:  «Монтажник ЖБК» : Код вакансии: F3592261323 Имя менеджера: Анастасия Мы выдаем: Форму Модель рабочей одежды: &quot;Экосиз-Фаворит-Альт-1&quot;";;"💡 Питание БЕСПЛАТНОЕ! 💡 График вахты ускоренный – 7/0 💡 Комфортное БЕСПЛАТНОЕ проживание с шкафчиками, холодильниками, TV, Wi-Fi, стиральной машиной и остальными обязательными атрибутами для отдыха (ВЫЧЕТОВ за использование НЕТ) 💡 Монтажник вакансии вахта прямых работодателей (ОФИЦИАЛЬНОЕ оформление) в день собеседования – гарантия выплат. 💡 Спецодежда предоставляется БЕЗ ВЫЧЕТОВ! Есть разное расписание! Вахта 30 30 (короткая работа вахтой 30 30); вахта 30 15 (короткая работа вахтой 30 15); вахта 45 30 (средняя работа вахтой 45 30); вахта 60 30 (повышенная работа вахтой 60 30); вахта 90 30 (длительная работа вахтой 90 30).|🔴 Вблизи места проживания находятся МАГАЗИНЫ и БАНКОМАТЫ.|🔴 Любая работа найдется! Трудоустройство вахта от прямых работодателей.|🔴 Возможна подработка на вахте (оплачиваемые переработки).";;;;
9492426;Электрогазосварщик;Электрогазосварщиквахта;"Проезд, проживание, питание.  Прямой работодатель.ЗП 80 т.р. НАКС 100 т.р. На Мосты требуется Сварщики.Вахта 60/30   Условия: - Выплаты на карту без задержек - Официальное трудоустройство, соц. пакет - Бесплатные обеды прямо на месте работы! - з/п Сварщик 80 000 Руб. НАКС 100 000 Руб. - Проживание в новом общежитии! Проживание НЕ удерживается, все условия для отдыха холодильники, TV, Wi-Fi (больше подробностей узнавайте у менеджера)  - Униформу предоставляем бесплатно - Работа вахтовым методом: 30/30, 60/30 дней и тд. по желанию - Возможна подработка на вахте (оплачиваемые переработки) - Оплачиваем билет до места работы!  Обязанности: - Соблюдение режима сварки - Работа на основе разработанного плана - Работа с ручной дуговой сваркой и не только ( подробности расскажет мастер)  Требования: - Разряд 3-4 - Опыт работы сварщиком! - Удостоверение работы сварщиком НАКС будет преимуществом! - Знание работы на полуавтоматах и их настройки - Умение работы ручной дуговой сваркой  🟦 НЕ ЖДИ, ЗВОНИ СЕЙЧАС! 🟩  В нашей компании действует акция &quot;ПРИВЕДИ ДРУГА&quot;, премия 4000 руб (если вы приезжаете с другом на вакансию и он отрабатывает не менее 10 смен). Можете сообщить знакомым и друзьям, о наборе специалистов в нашу компанию!  Мы ждем соискателя на должность: «Сварщик» : Код вакансии: Q-9842785886 Имя менеджера: Мария Мы выдаем: Робу Модель рабочей одежды: Ксв-3сп–2,3    А так же нужны специалисты:  Электрогазосварщик Газосварщик,  Электросварщик, Сварщик,"; Разряд 3-4 - Опыт работы сварщиком! - Удостоверение работы сварщиком НАКС будет преимуществом! - Знание работы на полуавтоматах и их настройки - Умение работы ручной дуговой сваркой;"Есть разное расписание! Вахта 30 30 (короткая работа вахтой 30 30); вахта 30 15 (короткая работа вахтой 30 15); вахта 45 30 (средняя работа вахтой 45 30); вахта 60 30 (повышенная работа вахтой 60 30); вахта 90 30 (длительная работа вахтой 90 30).|🔴 Вблизи места проживания находятся МАГАЗИНЫ и БАНКОМАТЫ.|🔴 Любая работа найдется! Трудоустройство вахта от прямых работодателей.|🔴 Возможна подработка на вахте (оплачиваемые переработки).";;;;
9492428;Электрогазосварщик;Электрогазосварщик с питанием;"Проезд, проживание, питание. На Мосты требуется Сварщики. Прямой работодатель.Вахта 60/30   Условия: - Официальное трудоустройство, соц. пакет - Оплачиваем билет до места работы! При предоставлении ЖД билета! - Выплаты на карту без задержек - Униформу предоставляем бесплатно - Проживание в новом общежитии! Проживание НЕ удерживается, все условия для отдыха TV, Wi-Fi (больше подробностей узнавайте у менеджера)  - Работа вахтовым методом: 60/30 дней и тд. по желанию - Бесплатные обеды!  Обязанности: - Работа с ручной дуговой сваркой и не только ( подробности расскажет мастер) - Соблюдение режима сварки - Работа на основе разработанного плана  Требования: - Удостоверение работы сварщиком НАКС будет преимуществом! - Разряд 3-4 - Знание работы на полуавтоматах и их настройки - Умение работы ручной дуговой сваркой - Опыт работы сварщиком!  ЗВОНИ СЕЙЧАС! Вакансия СРОЧНАЯ!  В нашей компании действует акция &quot;ПРИВЕДИ ДРУГА&quot;, премия 4000 руб (если вы приезжаете с другом на вакансию и он отрабатывает не менее 10 смен). Можете сообщить знакомым и друзьям, о наборе специалистов в нашу компанию!  Мы ждем соискателя на должность: «Сварщик» : Код вакансии: M-5637583136 Имя менеджера: Нина Мы выдаем: Специализированную одежду Модель рабочей одежды: брезентовый ОП    Приветствуется опыт работы:  Газосварщик, Сварщик,  Электросварщик,  Электрогазосварщик";Удостоверение работы сварщиком НАКС будет преимуществом! - Разряд 3-4 - Знание работы на полуавтоматах и их настройки - Умение работы ручной дуговой сваркой - Опыт работы сварщиком!; Официальное трудоустройство, соц. пакет - Оплачиваем билет до места работы! При предоставлении ЖД билета! - Выплаты на карту без задержек - Униформу предоставляем бесплатно - Проживание в новом общежитии! Проживание НЕ удерживается, все условия для отдыха TV, Wi-Fi (больше подробностей узнавайте у менеджера)  - Работа вахтовым методом: 60/30 дней и тд. по желанию - Бесплатные обеды!;;;;
9492429;Монтажник;Монтажник;"На строительство Агро-теплиц в г. Уткина Заводь (Санкт-Петербург) требуется Монтажник  Обязанности:  Монтаж металлоконструкции и прочие виды работы;  Помощь сварщикам, слесарям, перенос готовых элементов, подготовка к транспортировке.  Требования:  Рассмотрим кандидатов без опыта работы.  Условия:  График работы: 6/1 11-часовой рабочий день; ч/ч - 250 руб,  Уровень з/п от 70 000 руб;  Питание на объекте;  Проживание за счет компании;  Стабильные выплаты (2 раза в месяц);  Предоставление спецодежды;  Компенсация проезда!";Рассмотрим кандидатов без опыта работы.;"График работы: 6/1 11-часовой рабочий день; ч/ч - 250 руб,  Уровень з/п от 70 000 руб;  Питание на объекте;  Проживание за счет компании;  Стабильные выплаты (2 раза в месяц)";;;;
9492430;Машинист;Машинист котлов;"Т Плюс — крупнейший частный энергетический холдинг страны. Мы производим и доставляем тепло и свет в миллионы домов России. Каждый день это становится возможным благодаря профессиональной работе тысяч квалифицированных специалистов, которых мы привлекаем со всей страны.  Вам предстоит:  · Выполняет пуск, останов, опробование, опрессовку оборудования;  · Распределяет нагрузки между оборудованием при изменении диспетчерского графика;  · Делает переключения в тепловых схемах котельного оборудования;  · Принимает меры к ликвидации аварийных ситуаций в котельном отделении.  Мы ожидаем от Вас:  · Высшее либо среднее профессиональное образование (техническое)  · Знание нормативных документов по технической эксплуатации, охране труда, пожарной и промышленной безопасности энергообъектов, схем и инструкций  · Навыки работы с технической документацией и чертежами  · Навыки выполнения производственных операций  · Уверенный пользователь ПК (MS Office)  · Опыт работы не обязателен  Мы предлагаем:  · Место работы – г. Самара, Волжский пр.8/ 116 км  · Конкурентные условия оплаты труда  · График работы сменный  · Корпоративный пакет социальных льгот (ДМС)";ысшее либо среднее профессиональное образование (техническое)  · Знание нормативных документов по технической эксплуатации, охране труда, пожарной и промышленной безопасности энергообъектов, схем и инструкций  · Навыки работы с технической документацией и чертежами  · Навыки выполнения производственных операций  · Уверенный пользователь ПК;Место работы – г. Самара, Волжский пр.8/ 116 км  · Конкурентные условия оплаты труда  · График работы сменный  · Корпоративный пакет социальных льгот (ДМС);Т Плюс — крупнейший частный энергетический холдинг страны. Мы производим и доставляем тепло и свет в миллионы домов России. Каждый день это становится возможным благодаря профессиональной работе тысяч квалифицированных специалистов, которых мы привлекаем со всей страны;;;
9492431;Бетонщик;Бетонщики В усть-лугу вахта 60/30 96000;"ТРЕБУЮТСЯ БЕТОНЩИКИ В УСТЬ-ЛУГУ  Условия:  - Официальное трудоустройство согласно ТК РФ  - Оплата почасовая  - Своевременные выплаты 2 раза в месяц  - График 7/0  - 10 часовой рабочий день (дневная и ночная смена)  - Бесплатное горячее трёхразовое питание  - Предоставление спец.одежды  - Жильё предоставляется  - Компенсация проезда  Обязанности:  - Вязка арматуры;  - Бетонные работы  - Опалубка  - Строительство морпорта";;"Официальное трудоустройство согласно ТК РФ  - Оплата почасовая  - Своевременные выплаты 2 раза в месяц  - График 7/0  - 10 часовой рабочий день (дневная и ночная смена)  - Бесплатное горячее трёхразовое питание  - Предоставление спец.одежды  - Жильё предоставляется  - Компенсация проезда  Обязанности:  - Вязка арматуры;  - Бетонные работы  - Опалубка  - Строительство морпорта";;;;
9492432;Монтажник;Монтажник с проживанием;"Монтажник с проживанием Для работы ВАХТОЙ на строительство мостов требуются МОНТАЖНИКИ (можно без опыта работы) ГОРОДА: Курган, Сызрань, Казань, Нижнекамск   📱ПЕРВЫМ 5 ПОЗВОНИВШИМ ПРЕДЛОЖИМ ЛУЧШИЕ УСЛОВИЯ  Мы прямой работодатель!!!  УСЛОВИЯ:                                 График работы: Смена по 11 ч (дневные и ночные) минимальная вахта 30 рабочих дней, можно и дольше                                  Авансы: 15 и 30 числа каждого месяца по 5 000 рублей работнику на карту Тинькофф или Альфабанк                                              Спецодежда: Предоставляем спецовку по сезону и обувь                                                          Перечесление з/п:30 числа каждого месяца, ТОЛЬКО на карту Альфа-Банк зарплатный проект , Тинькофф банк                                 Проезд: Бесплатный, корпоративный автобус                                 Заселение: Заселение 24/7                                                          Питание: Обед предоставляется на смене, комплексный обед, выездная кухня                                 Документы для трудоустройства: Паспорт, ИНН, СНИЛС, трудовая книжка (если есть), военный билет   Требования: - Готовность к физической работе; - Можно без опыта; - Умение пользоваться электроинструментом; - Вязка арматуры, монтаж/демонтаж опалубки, работа с болкаркой (зачистка швов после сварочных работ), помощь бетонщикам в заливке бетона  ВНИМАНИЕ!!! действует АКЦИЯ: приведи друга, отработайте вместе минимальную вахту и тот, кто привел получит премию 4000р. за друга, количество друзей не ограничено).  Если Вы заинтересовались данной вакансией, или у Вас возникли вопросы, оставляйте отклик или пишите в сообщении Ваш номер, мы обязательно с Вами свяжемся в ближайшее время!   Мы ждем соискателя на должность: «Монтажник с проживанием»: Код вакансии: f-0658 Имя менеджера: Милена Мы выдаем: Спецовку Модель рабочей одежды:НьюДжерси-70  Нажимайте «откликнуться» на объявление и смотрите другие вакансии в нашем профиле  Как еще можно найти работу: бригада монтажников,вакансии монтажник,вакансии работы,монтажником,монтажник,монтажник вакансии вахта,монтажник дверей,монтажник наружных, монтажник оборудования, монтажник окон пвх, монтажник прямых работодателей, монтажник работодателей, монтажник рэа, монтажник систем, монтажник технологических, монтажник технологических трубопроводов, монтажник трубопроводов,монтажники конструкций,прибор монтажника,работа монтажником,разряды монтажников,слесарь монтажник";"  Документы для трудоустройства: Паспорт, ИНН, СНИЛС, трудовая книжка (если есть), военный билет   Требования: - Готовность к физической работе; - Можно без опыта; - Умение пользоваться электроинструментом; - Вязка арматуры, монтаж/демонтаж опалубки, работа с болкаркой (зачистка швов после сварочных работ), помощь бетонщикам в заливке бетона";  График работы: Смена по 11 ч (дневные и ночные) минимальная вахта 30 рабочих дней, можно и дольше                                  Авансы: 15 и 30 числа каждого месяца по 5 000 рублей работнику на карту Тинькофф или Альфабанк                                              Спецодежда: Предоставляем спецовку по сезону и обувь                                                          Перечесление з/п:30 числа каждого месяца, ТОЛЬКО на карту Альфа-Банк зарплатный проект , Тинькофф банк                                 Проезд: Бесплатный, корпоративный автобус                                 Заселение: Заселение 24/7                                                          Питание: Обед предоставляется на смене, комплексный обед, выездная кухня;;;;
9492434;Бетонщик;Бетонщик Арматурщик Вахта Проживание;"❗❗❗Требуются бетонщики ВАХТОВЫМ методом работы в НОВОСИБИРСК!  БЕСПЛАТНОЕ ПРОЖИВАНИЕ (со всеми удобствами, без живностей)  3-Х РАЗОВОЕ ПИТАНИЕ!  Ставка почасовая  🚉БЕСПЛАТНЫЙ ПРОЕЗД С ВАШЕГО ГОРОДА ДО ОБЪЕКТА И ОБРАТНО!!!  ✔️ Требования:  — Опыт работы от 2-х лет  ✔️ Обязанности:  — Заливка бетона  ✔️ Условия:  ПРЯМОЙ РАБОТОДАТЕЛЬ!  УДЕРЖАНИЙ НИКАКИХ НЕТ!!!  — Оплата с первого дня; — Полностью официальное оформление по ТК; — БЕСПЛАТНОЕ проживание в квартире (условия хорошие, без живностей. Все для комфортного проживания предоставляется!); — Спецодежда выдается бесплатно; — Стабильная работа без задержек; — Работа вахтовым методом на выбор 60/30, 90/30. — Корпоративный транспорт от места проживания до работы и обратно;  Продление вахты возможно на месте. 90% сотрудников продлевают вахту и остаются с нами.  Присоединяйтесь к нашей дружной команде!  Звоните и пишите в удобное для вас время!  Также рассмотрим кандидатов на такие должности, как: каменщик, монтажник ТТ, монтажник НТ"; Опыт работы от 2-х лет;"ПРЯМОЙ РАБОТОДАТЕЛЬ!  УДЕРЖАНИЙ НИКАКИХ НЕТ!!!  — Оплата с первого дня; — Полностью официальное оформление по ТК; — БЕСПЛАТНОЕ проживание в квартире (условия хорошие, без живностей. Все для комфортного проживания предоставляется!); — Спецодежда выдается бесплатно; — Стабильная работа без задержек; — Работа вахтовым методом на выбор 60/30, 90/30. — Корпоративный транспорт от места проживания до работы и обратно;  Продление вахты возможно на месте. 90% сотрудников продлевают вахту и остаются с нами.  Присоединяйтесь к нашей дружной команде!  Звоните и пишите в удобное для вас время!  ";Также рассмотрим кандидатов на такие должности, как: каменщик, монтажник ТТ, монтажник НТ;;;
